Side Effect,Side Effect Name,Disease Class
C0017152,gastric inflammation,gastrointestinal system disease
C0027858,neuroma,benign neoplasm
C0041466,Typhoid,bacterial infectious disease
C0032807,Post thrombotic syndrome,cardiovascular system disease
C0033860,psoriasis,integumentary system disease
C0259749,autonomic neuropathy,nervous system disease
C0349231,phobia,cognitive disorder
C0027726,nephrotic syndrome,urinary system disease
C0024437,macula lutea degeneration,nervous system disease
C0024312,Lymphocytes decreased,hematopoietic system disease
C0020635,hypopituitarism,endocrine system disease
C0002878,haemolytic anaemia,hematopoietic system disease
C0003873,Arthritis rheumatoid,musculoskeletal system disease
C0003872,psoriatic arthritis,psoriatic arthritis
C0002871,anaemia,hematopoietic system disease
C0030446,adynamic ileus,gastrointestinal system disease
C0002874,Anemia aplastic,hematopoietic system diseases
C0029429,osteochondrosis,musculoskeletal system disease
C0019693,HIV disease,viral infectious disease
C0038013,ankylosing spondylitis,musculoskeletal system disease
C0018916,haemangioma,benign neoplasm
C0038019,spondylosis,musculoskeletal system disease
C0008449,chondrodystrophy,musculoskeletal system disease
C0003486,aortic aneurysm,cardiovascular system disease
C0009768,bacterial conjunctivitis,nervous system disease
C0004030,aspergillosis,fungal infectious disease
C0002170,alopecia,integumentary system disease
C0009763,conjunctivitis,nervous system disease
C0031350,pharyngeal inflammation,respiratory system disease
C0476089,Endometrial cancer,cancer
C1527407,eosinophilic pneumonia,respiratory system disease
C0017658,glomerulonephritis,urinary system disease
C0013295,duodenal ulcer,gastrointestinal system disease
C0013298,duodenitis,gastrointestinal system disease
C0000889,acanthosis nigricans,integumentary system disease
C0038454,apoplexy,cardiovascular system disease
C0019284,diaphragmatic hernia,musculoskeletal system disease
C0017574,gingivitis,gastrointestinal system disease
C0011636,dermatophytosis,fungal infectious disease
C0035258,Ekbom Syndrome,nervous system disease
C0011633,dermatomyositis,musculoskeletal system disease
C0027051,heart attack,cardiovascular system disease
C0007642,cellulitis,integumentary system disease
C0025290,Aseptic meningitis,nervous system disease
C0025297,Meningitis Viral,nervous system disease
C0042594,Vestibular disorder,nervous system disease
C0010043,corneal ulcer,nervous system disease
C0242225,color blindness,nervous system disease
C0034951,refraction disorder,nervous system disease
C0021345,infectious mononucleosis,viral infectious disease
C0025362,mental retardation,developmental disorder of mental health
C0019212,hepatorenal syndrome,urinary system disease
C0019196,Hepatitis C,viral infectious disease
C0034494,rabies,viral infectious disease
C0014130,endocrine disorder,endocrine system disease
C0023798,lipoma,benign neoplasm
C0006271,bronchiolitis,respiratory system disease
C0040262,tinea versicolor,fungal infectious disease
C0011849,Diabetes,acquired metabolic disease
C0006277,bronchitis,respiratory system disease
C0016053,fibromyalgia,musculoskeletal system disease
C0040558,toxoplasmosis,parasitic infectious disease
C0020565,breast enlargement,thoracic disease
C0020445,familial hypercholesterolemia,inherited metabolic disorder
C0023646,lichen planus,integumentary system disease
C0027086,myoma,benign neoplasm
C0014553,petit mal,nervous system disease
C0014550,myoclonic epilepsy,nervous system disease
C0162529,colitis ischemic,gastrointestinal system disease
C0022568,keratitis,nervous system disease
C0018099,gout,musculoskeletal system disease
C0022603,seborrhoeic keratosis,integumentary system disease
C0034931,reflex sympathetic dystrophy,nervous system disease
C0242172,Pelvic Inflammatory Disease,reproductive system disease
C0034072,Cor pulmonale,cardiovascular system disease
C0149756,fascitis plantar,musculoskeletal system disease
C0031538,phimosis,reproductive system disease
C0155540,ear discharge,nervous system disease
C0023891,alcoholic cirrhosis,gastrointestinal system disease
C0023890,cirrhosis,gastrointestinal system disease
C0023892,biliary cirrhosis,immune system disease
C0023895,disease of liver,gastrointestinal system disease
C0030486,paraplegia,nervous system disease
C0022665,kidney neoplasm,cancer
C0014038,encephalitis,nervous system disease
C0022667,papillary necrosis,urinary system disease
