Federative Republic of Brazil	is_neighbor_of	Bolivarian Republic of Venezuela
Federative Republic of Brazil	is_neighbor_of	Co-operative Republic of Guyana
Iceland	located_in	Northern Europe
Western Asia	located_in	Asia
Hashemite Kingdom of Jordan	is_neighbor_of	Syrian Arab Republic
Republic of Guinea	located_in	Western Africa
French Republic	is_neighbor_of	Grand Duchy of Luxembourg
Republic of Palau	located_in	Micronesia
Italian Republic	is_neighbor_of	Vatican City State
Ukraine	located_in	Eastern Europe
Republic of Rwanda	located_in	Eastern Africa
Kingdom of Norway	located_in	Northern Europe
Commonwealth of Australia	located_in	Australia and New Zealand
Republic of Chile	is_neighbor_of	Plurinational State of Bolivia
Republic of Seychelles	located_in	Eastern Africa
Republic of Iraq	located_in	Western Asia
Republic of Panama	located_in	Central America
Réunion Island	located_in	Eastern Africa
Turkmenistan	is_neighbor_of	Islamic Republic of Iran
Hong Kong Special Administrative Region of the People's Republic of China	located_in	Eastern Asia
Republic of the Sudan	is_neighbor_of	Arab Republic of Egypt
United States of America	is_neighbor_of	Canada
Sultanate of Oman	is_neighbor_of	Republic of Yemen
Islamic Republic of Pakistan	is_neighbor_of	Islamic Republic of Iran
Republic of Albania	is_neighbor_of	Montenegro
Republic of the Sudan	is_neighbor_of	Federal Democratic Republic of Ethiopia
Democratic Republic of São Tomé and Príncipe	located_in	Middle Africa
Republic of Madagascar	located_in	Eastern Africa
Swiss Confederation	is_neighbor_of	French Republic
Republic of Finland	located_in	Northern Europe
Kingdom of Sweden	is_neighbor_of	Kingdom of Norway
Bermuda	located_in	Northern America
Socialist Republic of Vietnam	is_neighbor_of	People's Republic of China
Republic of Kosovo	is_neighbor_of	Republic of Macedonia
Republic of Guinea-Bissau	located_in	Western Africa
Republic of the Congo	located_in	Middle Africa
Republic of Lithuania	is_neighbor_of	Republic of Latvia
Democratic People's Republic of Korea	is_neighbor_of	People's Republic of China
Republic of Indonesia	located_in	South-Eastern Asia
Kingdom of Thailand	located_in	South-Eastern Asia
Republic of Angola	is_neighbor_of	Republic of Namibia
Republic of Serbia	is_neighbor_of	Republic of Kosovo
Burkina Faso	is_neighbor_of	Republic of Benin
Republic of Singapore	located_in	South-Eastern Asia
Republic of Guatemala	is_neighbor_of	Republic of El Salvador
Polynesia	located_in	Oceania
Republic of Serbia	is_neighbor_of	Republic of Macedonia
Anguilla	located_in	Caribbean
Islamic Republic of Mauritania	located_in	Western Africa
Republic of Kenya	is_neighbor_of	Republic of Uganda
State of Eritrea	located_in	Eastern Africa
Cayman Islands	located_in	Caribbean
Republic of India	is_neighbor_of	Islamic Republic of Pakistan
Mongolia	is_neighbor_of	Russian Federation
Republic of Bulgaria	is_neighbor_of	Republic of Macedonia
Republic of Zimbabwe	is_neighbor_of	Republic of Mozambique
Republic of Poland	located_in	Eastern Europe
Republic of Zambia	is_neighbor_of	Republic of Malawi
Republic of Uganda	is_neighbor_of	Republic of South Sudan
People's Republic of China	is_neighbor_of	Macao Special Administrative Region of the People's Republic of China
United Republic of Tanzania	is_neighbor_of	Republic of Burundi
Kingdom of Sweden	is_neighbor_of	Republic of Finland
Republic of Chile	located_in	South America
Socialist Republic of Vietnam	located_in	South-Eastern Asia
Republic of Poland	is_neighbor_of	Slovak Republic
Republic of Armenia	is_neighbor_of	Republic of Turkey
State of Qatar	is_neighbor_of	Kingdom of Saudi Arabia
Republic of the Congo	is_neighbor_of	Republic of Cameroon
Republic of Botswana	located_in	Southern Africa
Netherlands	is_neighbor_of	Kingdom of Belgium
Republic of Estonia	located_in	Northern Europe
Republic of Moldova	is_neighbor_of	Ukraine
Republic of Costa Rica	is_neighbor_of	Republic of Panama
Republic of the Congo	is_neighbor_of	Gabonese Republic
Republic of South Africa	located_in	Southern Africa
Republic of Ghana	is_neighbor_of	Togolese Republic
Republic of Ireland	is_neighbor_of	United Kingdom of Great Britain and Northern Ireland
Republic of India	is_neighbor_of	People's Republic of China
Republic of Niger	is_neighbor_of	Republic of Benin
Kyrgyz Republic	located_in	Central Asia
Kingdom of Saudi Arabia	is_neighbor_of	United Arab Emirates
