Age_Group	Interacts_with	Group
Alga	Interacts_with	Archaeon
Alga	Interacts_with	Bird
Alga	Interacts_with	Organism
Alga	Interacts_with	Human
Alga	Interacts_with	Reptile
Alga	Interacts_with	Mammal
Alga	Interacts_with	Fish
Alga	Interacts_with	Invertebrate
Alga	Interacts_with	Archaeon
Alga	Interacts_with	Bird
Alga	Interacts_with	Organism
Alga	Interacts_with	Amphibian
Alga	Interacts_with	Human
Alga	Interacts_with	Reptile
Alga	Interacts_with	Mammal
Alga	Interacts_with	Vertebrate
Alga	Interacts_with	Fish
Alga	Interacts_with	Organism
Alga	Interacts_with	Invertebrate
Alga	Interacts_with	Archaeon
Alga	Interacts_with	Bird
Alga	Interacts_with	Organism
Alga	Interacts_with	Amphibian
Alga	Interacts_with	Human
Alga	Interacts_with	Reptile
Alga	Interacts_with	Mammal
Alga	Interacts_with	Vertebrate
Alga	Interacts_with	Animal
Alga	Interacts_with	Fish
Alga	Interacts_with	Archaeon
Alga	Interacts_with	Organism
Alga	Interacts_with	Human
Alga	Interacts_with	Reptile
Alga	Interacts_with	Mammal
Alga	Interacts_with	Fish
Alga	Interacts_with	Archaeon
Alga	Interacts_with	Organism
Alga	Interacts_with	Human
Alga	Interacts_with	Reptile
Alga	Interacts_with	Mammal
Alga	Interacts_with	Rickettsia_or_Chlamydia
Alga	Interacts_with	Invertebrate
Alga	Interacts_with	Virus
Alga	Interacts_with	Archaeon
Alga	Interacts_with	Bird
Alga	Interacts_with	Organism
Alga	Interacts_with	Amphibian
Alga	Interacts_with	Human
Alga	Interacts_with	Reptile
Alga	Interacts_with	Mammal
Alga	Interacts_with	Vertebrate
Alga	Interacts_with	Animal
Alga	Interacts_with	Fish
Alga	Interacts_with	Bacterium
Alga	Interacts_with	Archaeon
Alga	Interacts_with	Organism
Alga	Interacts_with	Archaeon
Alga	Interacts_with	Bird
Alga	Interacts_with	Organism
Alga	Interacts_with	Amphibian
Alga	Interacts_with	Human
Alga	Interacts_with	Reptile
Alga	Interacts_with	Mammal
Alga	Interacts_with	Vertebrate
Alga	Interacts_with	Fish
Alga	Interacts_with	Archaeon
Alga	Interacts_with	Organism
Alga	Interacts_with	Human
Alga	Interacts_with	Archaeon
Alga	Interacts_with	Organism
Alga	Interacts_with	Human
Alga	Interacts_with	Mammal
Alga	Interacts_with	Invertebrate
Alga	Interacts_with	Archaeon
Alga	Interacts_with	Bird
Alga	Interacts_with	Organism
Alga	Interacts_with	Amphibian
Alga	Interacts_with	Human
Alga	Interacts_with	Reptile
Alga	Interacts_with	Mammal
Alga	Interacts_with	Vertebrate
Alga	Interacts_with	Animal
Alga	Interacts_with	Fish
Alga	Interacts_with	Bacterium
Alga	Interacts_with	Archaeon
Alga	Interacts_with	Bird
Alga	Interacts_with	Organism
Alga	Interacts_with	Amphibian
Alga	Interacts_with	Human
Alga	Interacts_with	Reptile
Alga	Interacts_with	Mammal
Alga	Interacts_with	Fish
Alga	Interacts_with	Rickettsia_or_Chlamydia
Alga	Interacts_with	Invertebrate
Alga	Interacts_with	Archaeon
Alga	Interacts_with	Bird
Alga	Interacts_with	Organism
Alga	Interacts_with	Amphibian
Alga	Interacts_with	Human
Alga	Interacts_with	Reptile
Alga	Interacts_with	Mammal
Alga	Interacts_with	Vertebrate
Alga	Interacts_with	Animal
Alga	Interacts_with	Fish
Alga	Interacts_with	Bacterium
Amino_Acid_Peptide_or_Protein	Interacts_with	Hazardous_or_Poisonous_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Hormone
Amino_Acid_Peptide_or_Protein	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Amino_Acid_Peptide_or_Protein	Interacts_with	Vitamin
Amino_Acid_Peptide_or_Protein	Interacts_with	Immunologic_Factor
Amino_Acid_Peptide_or_Protein	Interacts_with	Enzyme
Amino_Acid_Peptide_or_Protein	Interacts_with	Receptor
Amino_Acid_Peptide_or_Protein	Interacts_with	Biologically_Active_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Biomedical_or_Dental_Material
Amino_Acid_Peptide_or_Protein	Interacts_with	Neuroreactive_Substance_or_Biogenic_Amine
Amino_Acid_Peptide_or_Protein	Interacts_with	Hazardous_or_Poisonous_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Hormone
Amino_Acid_Peptide_or_Protein	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Amino_Acid_Peptide_or_Protein	Interacts_with	Vitamin
Amino_Acid_Peptide_or_Protein	Interacts_with	Immunologic_Factor
Amino_Acid_Peptide_or_Protein	Interacts_with	Enzyme
Amino_Acid_Peptide_or_Protein	Interacts_with	Receptor
Amino_Acid_Peptide_or_Protein	Interacts_with	Neuroreactive_Substance_or_Biogenic_Amine
Amino_Acid_Peptide_or_Protein	Interacts_with	Hazardous_or_Poisonous_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Hormone
Amino_Acid_Peptide_or_Protein	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
